group	taxa	abund	relative_abund
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;pinisoli;pinisoli;0.55	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;putida;;0.75	2	6.5609479257563134e-6
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;putida;;0.86	19	6.232900529468497e-5
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;timonae;;0.51	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;timonae;;0.93	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;0.93	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;dispersa;;0.86	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii;;0.79	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;junii;;0.88	6	1.968284377726894e-5
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;;aerosaccus;1	8	2.6243791703025254e-5
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;faecalis;;0.89	0	0
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;;;;0.91	16	5.248758340605051e-5
GRUPO_1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;;putida;0.96	0	0
